long,lat,bio_1,bio_12
-77.51440993,-5.80941679,187,1622
-77.3060766,-5.80941679,224,1416
-77.26440993,-5.80941679,225,1268
-77.13940993,-5.80941679,221,1485
-77.09774326,-5.80941679,220,1553
-76.88940993,-5.80941679,215,1300
-76.34774327,-5.80941679,256,1927
-76.01440993,-5.80941679,255,2255
-75.5560766,-5.80941679,251,2312
-75.38940994,-5.80941679,251,2290
-75.3060766,-5.80941679,253,2319
-77.68107659,-5.851083457,105,1409
-77.59774326,-5.851083457,135,1519
-77.51440993,-5.851083457,166,1643
-77.47274326,-5.851083457,185,1666
-77.43107659,-5.851083457,210,1552
-77.38940993,-5.851083457,212,1683
-77.34774326,-5.851083457,224,1428
-77.22274326,-5.851083457,225,1274
-76.72274326,-5.851083457,225,1532
-76.63940993,-5.851083457,223,2000
-76.22274327,-5.851083457,255,2025
-75.97274327,-5.851083457,253,2286
-75.76440993,-5.851083457,251,2328
-75.63940994,-5.851083457,251,2332
-75.59774327,-5.851083457,251,2285
-75.4310766,-5.851083457,252,2194
-75.34774327,-5.851083457,252,2312
-75.1810766,-5.851083457,255,2255
-77.3060766,-5.892750123,225,1441
-77.13940993,-5.892750123,225,1290
-76.97274326,-5.892750123,217,1588
-76.8060766,-5.892750123,167,1779
-76.76440993,-5.892750123,171,2130
-76.6810766,-5.892750123,218,1814
-76.59774326,-5.892750123,239,1714
-76.38940993,-5.892750123,256,1937
-76.1810766,-5.892750123,256,2101
-76.09774327,-5.892750123,256,2134
-76.0560766,-5.892750123,256,2100
-76.01440993,-5.892750123,255,2138
-75.88940993,-5.892750123,253,2169
-75.76440993,-5.892750123,251,2249
-75.6810766,-5.892750123,251,2308
-77.47274326,-5.93441679,176,1501
-77.43107659,-5.93441679,177,1645
-77.38940993,-5.93441679,182,1767
-77.3060766,-5.93441679,224,1546
-77.09774326,-5.93441679,226,1269
-77.01440993,-5.93441679,219,1303
-76.97274326,-5.93441679,206,1588
-76.9310766,-5.93441679,204,1762
-76.84774326,-5.93441679,200,1421
-76.76440993,-5.93441679,157,2007
-76.72274326,-5.93441679,180,2184
-76.26440993,-5.93441679,256,2121
-76.09774327,-5.93441679,257,2121
-75.84774327,-5.93441679,253,2268
-75.8060766,-5.93441679,253,2136
-75.76440993,-5.93441679,252,2139
-75.72274327,-5.93441679,251,2249
-75.59774327,-5.93441679,250,2405
-77.59774326,-5.976083456,107,1280
-77.55607659,-5.976083456,99,1380
-77.51440993,-5.976083456,137,1474
-77.22274326,-5.976083456,227,1331
-77.13940993,-5.976083456,226,1309
-77.09774326,-5.976083456,226,1309
-77.0560766,-5.976083456,224,1332
-76.84774326,-5.976083456,202,1401
-76.47274327,-5.976083456,253,1896
-76.26440993,-5.976083456,256,2139
-76.13940993,-5.976083456,257,2093
-76.09774327,-5.976083456,257,2151
-76.0560766,-5.976083456,257,2136
-75.8060766,-5.976083456,252,2238
-75.76440993,-5.976083456,252,2216
-75.6810766,-5.976083456,251,2292
-75.38940994,-5.976083456,253,2388
-75.3060766,-5.976083456,253,2362
-75.22274327,-5.976083456,255,2353
-75.1810766,-5.976083456,255,2401
-77.38940993,-6.017750123,150,1818
-76.9310766,-6.017750123,221,1122
-76.84774326,-6.017750123,201,1453
-76.8060766,-6.017750123,197,1287
-76.76440993,-6.017750123,184,1406
-76.63940993,-6.017750123,209,1837
-76.5560766,-6.017750123,201,2172
-76.47274327,-6.017750123,249,2024
-76.26440993,-6.017750123,256,2077
-76.0560766,-6.017750123,256,2244
-76.01440993,-6.017750123,257,2156
-75.84774327,-6.017750123,253,2161
-75.47274327,-6.017750123,253,2268
-75.4310766,-6.017750123,253,2298
-75.1810766,-6.017750123,255,2373
-75.0560766,-6.017750123,255,2403
-77.72274326,-6.059416789,126,878
-77.51440993,-6.059416789,80,1441
-77.47274326,-6.059416789,95,1399
-77.3060766,-6.059416789,182,1722
-77.1810766,-6.059416789,226,1433
-77.13940993,-6.059416789,227,1315
-77.0560766,-6.059416789,226,1218
-76.8060766,-6.059416789,201,1292
-76.5560766,-6.059416789,205,1869
-76.47274327,-6.059416789,242,2052
-76.4310766,-6.059416789,255,1901
-76.3060766,-6.059416789,256,2083
-76.22274327,-6.059416789,257,1962
-76.13940993,-6.059416789,255,2119
-75.97274327,-6.059416789,256,2196
-75.9310766,-6.059416789,256,2164
-75.72274327,-6.059416789,253,2180
-77.0560766,-6.101083456,225,1244
-77.01440993,-6.101083456,217,1300
-76.9310766,-6.101083456,205,1535
-76.84774326,-6.101083456,219,1164
-76.59774326,-6.101083456,215,1784
-76.5560766,-6.101083456,216,1597
-76.4310766,-6.101083456,248,2090
-76.34774327,-6.101083456,257,1963
-76.1810766,-6.101083456,256,2110
-76.13940993,-6.101083456,256,2125
-76.09774327,-6.101083456,255,2121
-75.97274327,-6.101083456,255,2352
-75.9310766,-6.101083456,256,2144
-75.84774327,-6.101083456,256,2087
-75.8060766,-6.101083456,255,1966
-75.59774327,-6.101083456,253,2228
-75.51440994,-6.101083456,252,2396
-75.47274327,-6.101083456,252,2391
-75.34774327,-6.101083456,253,2371
-75.09774327,-6.101083456,255,2324
-77.63940993,-6.142750122,99,1046
-77.55607659,-6.142750122,111,917
-77.43107659,-6.142750122,90,1522
-77.22274326,-6.142750122,184,1788
-77.09774326,-6.142750122,224,1339
-76.97274326,-6.142750122,208,1287
-76.76440993,-6.142750122,207,1339
-76.38940993,-6.142750122,254,1970
-76.26440993,-6.142750122,257,2020
-76.22274327,-6.142750122,256,2105
-76.09774327,-6.142750122,255,2136
-76.0560766,-6.142750122,255,2163
-75.97274327,-6.142750122,256,2064
-75.76440993,-6.142750122,255,2020
-75.22274327,-6.142750122,256,2337
-75.1810766,-6.142750122,255,2349
-77.63940993,-6.184416789,129,866
-77.55607659,-6.184416789,121,905
-77.43107659,-6.184416789,105,1318
